UserName,Groupname,Enabled,UserDisplayName,UPN,Last Login,90 days,DomainID,PrimaryLicenseGroup,AdminLicenseRatio,MaintainedBy,Description,PrimaryLicenseGroups,ALLGroupmembership,
Anonymized182,All Vault Users,True,Anonymized131,Anonymized157,07/10/23  1:00:01 PM,Too long ago,1.0,companydomain.local\Permissions.Application.PAM.group1BusinessUsers.Company.DepartmentIntegration,0,TBD,TBD,companydomain.local\Permissions.Application.PAM.group1BusinessUsers.Company.DepartmentIntegration,"All Vault Users, companydomain.local\Gebruikers.Applicatie.PAM.BusinessUsers.Company.DepartmentIntegration, companydomain.local\Permissions.Application.PAM.group1BusinessUsers.Company.DepartmentIntegration, Anonymized131",
Anonymized196,All Vault Users,True,Anonymized119,companydomain.local\Anonymized196,Never,Never,1.0,companydomain.local\Permissions.Application.PAM.group1Users.Company.JBI,'-1,,,companydomain.local\Permissions.Application.PAM.group1Users.Company.JBI,"All Vault Users, Anonymized119, companydomain.local\Gebruikers.Applicatie.PAM.Users.Company.JBI, companydomain.local\Permissions.Application.PAM.group1Users.Company.JBI",
Anonymized660,All Vault Users,True,Anonymized27,Anonymized417,11/23/23  2:10:06 PM,Recent login,1.0,companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.ApplicationB,'-1,,,"companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.ApplicationB, companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.SAP.ITAdmin, companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.SAP.SAPapp1, companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.SAP.Retail","All Vault Users, companydomain.local\Permissions.Application.PAM.group1Users.ITSupplierX companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.ApplicationB, companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.SAP.ITAdmin, companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.SAP.SAPapp1, companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.SAP.Retail, Anonymized27",
Anonymized28,All Vault Users,True,Anonymized575,companydomain.local\Anonymized28,11/23/23  1:47:04 PM,Recent login,1.0,companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.SAP.SAPapp1,'-1,tbd,tbd,"companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.SAP.SAPapp1, companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.SAP.Retail","All Vault Users, Anonymized575, companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.SAP.SAPapp1, companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.SAP.Retail",
Anonymized283,All Vault Users,True,Anonymized357,Anonymized95,11/09/23 10:34:28 AM,Recent login,1.0,companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.WindowsITTeam,'-1,,,companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.WindowsITTeam,"All Vault Users, Anonymized357, companydomain.local\Permissions.Application.PAM.group1Role.Administrator, companydomain.local\Permissions.Application.PAM.group1Users.ITSupplierX companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.WindowsITTeam, companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.WindowsITTeam.DomainAdmins, companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.WindowsITTeam.ServerAdmins",
Anonymized221,All Vault Users,True,Anonymized36,companydomain.local\Anonymized221,11/16/23  1:58:26 PM,Recent login,1.0,companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.SAP.TechnicalAdminDepartment,'-1,ITManagementCompanyX-SAP,tbd,companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.SAP.TechnicalAdminDepartment,"All Vault Users, Anonymized36, companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.SAP.TechnicalAdminDepartment",
Anonymized325,All Vault Users,True,Anonymized170,companydomain.local\Anonymized325,11/17/23  9:14:43 AM,Recent login,1.0,companydomain.local\Permissions.Application.PAM.group1Users.Company.DepartmentP-DCT.ApplicationB,'-1,,,companydomain.local\Permissions.Application.PAM.group1Users.Company.DepartmentP-DCT.ApplicationB,"All Vault Users, Anonymized170, companydomain.local\Permissions.Application.PAM.group1Users.Company.DepartmentP-DCT.ApplicationB",
Anonymized517,All Vault Users,True,Anonymized420,Anonymized481,Never,Never,1.0,companydomain.local\Permissions.Application.PAM.group1Users.ITSupplierG.OS ITAdmin Windows,3,,,companydomain.local\Permissions.Application.PAM.group1Users.ITSupplierG.OS ITAdmin Windows,"All Vault Users, companydomain.local\Permissions.Application.PAM.group1Users.ITSupplierG.OS ITAdmin Windows, Anonymized420",
Anonymized149,All Vault Users,True,Anonymized332,companydomain.local\Anonymized149,10/19/23  7:43:41 AM,Recent login,1.0,companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.SAP.SecurityAndAuthorisation,'-1,tbd,tbd,companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.SAP.SecurityAndAuthorisation,"All Vault Users, companydomain.local\Gebruikers.Applicatie.PAM.KeyUsers.ITManagementCompanyX.SAP, companydomain.local\Permissions.Application.PAM.group1KeyUsers.ITManagementCompanyX.SAP, companydomain.local\Permissions.Application.PAM.group1Users.ITSupplierX companydomain.local\Permissions.Application.PAM.group1Users.ITManagementCompanyX.SAP.SecurityAndAuthorisation, Anonymized332",
Anonymized582,All Vault Users,True,Anonymized381,companydomain.local\Anonymized582,Never,Never,1.0,companydomain.local\Permissions.Application.PAM.group1Users.ITSuppliers4.ApplicationB,1,,,companydomain.local\Permissions.Application.PAM.group1Users.ITSuppliers4.ApplicationB,"All Vault Users, companydomain.local\Gebruikers.Applicatie.PAM.Users.ITSuppliers4.ApplicationB, Anonymized381, companydomain.local\Permissions.Application.PAM.group1Users.ITSuppliers4.ApplicationB",
Anonymized505,All Vault Users,True,Anonymized406,Anonymized437,11/16/23  8:28:40 AM,Recent login,1.0,companydomain.local\Permissions.Application.PAM.group1Users.ITSupplierG.OS ITAdmin Windows,3,,,companydomain.local\Permissions.Application.PAM.group1Users.ITSupplierG.OS ITAdmin Windows,"All Vault Users, companydomain.local\Permissions.Application.PAM.group1Users.ITSupplierG.OS ITAdmin Windows, Anonymized406",
Anonymized111,All Vault Users,True,Anonymized229,companydomain.local\Anonymized111,Never,Never,1.0,companydomain.local\Permissions.Application.PAM.group1Users.Company.IAM.ITAdministrators,'-1,,,companydomain.local\Permissions.Application.PAM.group1Users.Company.IAM.ITAdministrators,"All Vault Users, Anonymized229, companydomain.local\Permissions.Application.PAM.group1Users.Company.IAM.ITAdministrators",
Anonymized260,All Vault Users,True,Anonymized586,companydomain.local\Anonymized260,Never,Never,1.0,companydomain.local\Permissions.Application.PAM.group1Users.ITSuppliers4.ApplicationB,1,,,companydomain.local\Permissions.Application.PAM.group1Users.ITSuppliers4.ApplicationB,"All Vault Users, companydomain.local\Gebruikers.Applicatie.PAM.Users.ITSuppliers4.ApplicationB, Anonymized586, companydomain.local\Permissions.Application.PAM.group1Users.ITSuppliers4.ApplicationB",
Anonymized453,All Vault Users,True,Anonymized227,Anonymized117,11/20/23  7:56:19 AM,Recent login,1.0,companydomain.local\Permissions.Application.PAM.group1Users.ITSupplierG.OS ITAdmin Windows,3,,,companydomain.local\Permissions.Application.PAM.group1Users.ITSupplierG.OS ITAdmin Windows,"All Vault Users, Anonymized227, companydomain.local\Permissions.Application.PAM.group1Users.ITSupplierG.OS ITAdmin Windows",
